"cell_count","exp_day","chamber","test","rpm"
1656250,1,"1","pilot16","2.5RPM"
375000,1,"2","pilot16","2.5RPM"
3750000,1,"3","pilot16","2.5RPM"
531250,1,"4","pilot16","2.5RPM"
4218750,1,"5","pilot16","2.5RPM"
828125,1,"6","pilot16","2.5RPM"
4687500,1,"7","pilot16","2.5RPM"
1e+06,1,"8","pilot16","2.5RPM"
4843750,1,"9","pilot16","2.5RPM"
578125,1,"10","pilot16","2.5RPM"
3593750,1,"11","pilot16","2.5RPM"
703125,1,"12","pilot16","2.5RPM"
2812500,1,"13","pilot16","2.5RPM"
359375,1,"14","pilot16","2.5RPM"
1187500,1,"15","pilot16","2.5RPM"
468750,1,"16","pilot16","2.5RPM"
2625000,2,"1","pilot16","2.5RPM"
812500,2,"2","pilot16","2.5RPM"
6718750,2,"3","pilot16","2.5RPM"
1e+06,2,"4","pilot16","2.5RPM"
5781250,2,"5","pilot16","2.5RPM"
859375,2,"6","pilot16","2.5RPM"
7812500,2,"7","pilot16","2.5RPM"
1546875,2,"8","pilot16","2.5RPM"
5781250,2,"9","pilot16","2.5RPM"
1234375,2,"10","pilot16","2.5RPM"
3593750,2,"11","pilot16","2.5RPM"
765625,2,"12","pilot16","2.5RPM"
6093750,2,"13","pilot16","2.5RPM"
968750,2,"14","pilot16","2.5RPM"
3140625,2,"15","pilot16","2.5RPM"
1140625,2,"16","pilot16","2.5RPM"
9218750,3,"1","pilot16","2.5RPM"
4187500,3,"2","pilot16","2.5RPM"
9218750,3,"3","pilot16","2.5RPM"
3e+06,3,"4","pilot16","2.5RPM"
9687500,3,"5","pilot16","2.5RPM"
1484375,3,"6","pilot16","2.5RPM"
9218750,3,"7","pilot16","2.5RPM"
2e+06,3,"8","pilot16","2.5RPM"
6250000,3,"9","pilot16","2.5RPM"
2203125,3,"10","pilot16","2.5RPM"
5625000,3,"11","pilot16","2.5RPM"
1125000,3,"12","pilot16","2.5RPM"
7656250,3,"13","pilot16","2.5RPM"
1906250,3,"14","pilot16","2.5RPM"
7656250,3,"15","pilot16","2.5RPM"
2781250,3,"16","pilot16","2.5RPM"
16562500,4,"1","pilot16","2.5RPM"
14531250,4,"2","pilot16","2.5RPM"
12343750,4,"3","pilot16","2.5RPM"
6250000,4,"4","pilot16","2.5RPM"
13437500,4,"5","pilot16","2.5RPM"
5e+06,4,"6","pilot16","2.5RPM"
17031250,4,"7","pilot16","2.5RPM"
2812500,4,"8","pilot16","2.5RPM"
13906250,4,"9","pilot16","2.5RPM"
4062500,4,"10","pilot16","2.5RPM"
12031250,4,"11","pilot16","2.5RPM"
2812500,4,"12","pilot16","2.5RPM"
9531250,4,"13","pilot16","2.5RPM"
3750000,4,"14","pilot16","2.5RPM"
8281250,4,"15","pilot16","2.5RPM"
13906250,4,"16","pilot16","2.5RPM"
21250000,5,"1","pilot16","2.5RPM"
16562500,5,"2","pilot16","2.5RPM"
21093750,5,"3","pilot16","2.5RPM"
6250000,5,"4","pilot16","2.5RPM"
21562500,5,"5","pilot16","2.5RPM"
6562500,5,"6","pilot16","2.5RPM"
20312500,5,"7","pilot16","2.5RPM"
6250000,5,"8","pilot16","2.5RPM"
16250000,5,"9","pilot16","2.5RPM"
4843750,5,"10","pilot16","2.5RPM"
1.5e+07,5,"11","pilot16","2.5RPM"
8906250,5,"12","pilot16","2.5RPM"
