"cell_count","exp_day","chamber","test","rpm","chamberID"
26700,1,1,"A","2.5RPM","A.1"
48900,1,9,"A","2.5RPM","A.9"
54900,1,2,"A","2.5RPM","A.2"
22800,1,10,"A","2.5RPM","A.10"
61200,1,3,"A","2.5RPM","A.3"
29100,1,11,"A","2.5RPM","A.11"
48900,1,4,"A","2.5RPM","A.4"
120900,1,12,"A","2.5RPM","A.12"
87600,1,5,"A","2.5RPM","A.5"
44400,1,13,"A","2.5RPM","A.13"
90300,1,6,"A","2.5RPM","A.6"
105000,1,14,"A","2.5RPM","A.14"
69000,1,7,"A","2.5RPM","A.7"
47700,1,15,"A","2.5RPM","A.15"
51000,1,8,"A","2.5RPM","A.8"
112200,1,16,"A","2.5RPM","A.16"
164700,2,1,"A","2.5RPM","A.1"
507900,2,9,"A","2.5RPM","A.9"
493800,2,2,"A","2.5RPM","A.2"
556200,2,10,"A","2.5RPM","A.10"
493200,2,3,"A","2.5RPM","A.3"
177900,2,11,"A","2.5RPM","A.11"
336000,2,4,"A","2.5RPM","A.4"
780000,2,12,"A","2.5RPM","A.12"
336600,2,5,"A","2.5RPM","A.5"
221700,2,13,"A","2.5RPM","A.13"
381000,2,6,"A","2.5RPM","A.6"
486600,2,14,"A","2.5RPM","A.14"
377700,2,7,"A","2.5RPM","A.7"
295800,2,15,"A","2.5RPM","A.15"
454200,2,8,"A","2.5RPM","A.8"
675900,2,16,"A","2.5RPM","A.16"
1841400,4,1,"A","2.5RPM","A.1"
1315200,4,9,"A","2.5RPM","A.9"
2928900,4,2,"A","2.5RPM","A.2"
2841600,4,10,"A","2.5RPM","A.10"
4674300,4,3,"A","2.5RPM","A.3"
1257900,4,11,"A","2.5RPM","A.11"
1778700,4,4,"A","2.5RPM","A.4"
3787500,4,12,"A","2.5RPM","A.12"
2664300,4,5,"A","2.5RPM","A.5"
2185500,4,13,"A","2.5RPM","A.13"
2291700,4,6,"A","2.5RPM","A.6"
1407900,4,14,"A","2.5RPM","A.14"
858600,4,7,"A","2.5RPM","A.7"
994800,4,15,"A","2.5RPM","A.15"
1605600,4,8,"A","2.5RPM","A.8"
2067600,4,16,"A","2.5RPM","A.16"
2753700,5,1,"A","2.5RPM","A.1"
1976700,5,9,"A","2.5RPM","A.9"
3445200,5,2,"A","2.5RPM","A.2"
2834100,5,10,"A","2.5RPM","A.10"
2942100,5,3,"A","2.5RPM","A.3"
2908800,5,11,"A","2.5RPM","A.11"
2796900,5,4,"A","2.5RPM","A.4"
2094600,5,12,"A","2.5RPM","A.12"
2284200,5,5,"A","2.5RPM","A.5"
2441100,5,13,"A","2.5RPM","A.13"
2775300,5,6,"A","2.5RPM","A.6"
1270200,5,14,"A","2.5RPM","A.14"
1766700,5,7,"A","2.5RPM","A.7"
2030700,5,15,"A","2.5RPM","A.15"
1381800,5,8,"A","2.5RPM","A.8"
1520100,5,16,"A","2.5RPM","A.16"
3899100,6,1,"A","2.5RPM","A.1"
1467300,6,9,"A","2.5RPM","A.9"
2582400,6,2,"A","2.5RPM","A.2"
2163000,6,10,"A","2.5RPM","A.10"
2923200,6,3,"A","2.5RPM","A.3"
1931700,6,11,"A","2.5RPM","A.11"
1881600,6,4,"A","2.5RPM","A.4"
1681800,6,12,"A","2.5RPM","A.12"
2248200,6,5,"A","2.5RPM","A.5"
1758000,6,13,"A","2.5RPM","A.13"
1507500,6,6,"A","2.5RPM","A.6"
1582200,6,14,"A","2.5RPM","A.14"
2957100,6,7,"A","2.5RPM","A.7"
1935300,6,15,"A","2.5RPM","A.15"
1623600,6,8,"A","2.5RPM","A.8"
2259900,6,16,"A","2.5RPM","A.16"
3830100,7,1,"A","2.5RPM","A.1"
2199600,7,9,"A","2.5RPM","A.9"
2462400,7,2,"A","2.5RPM","A.2"
1881000,7,10,"A","2.5RPM","A.10"
2568600,7,3,"A","2.5RPM","A.3"
2331900,7,11,"A","2.5RPM","A.11"
1907100,7,4,"A","2.5RPM","A.4"
2380500,7,12,"A","2.5RPM","A.12"
2989200,7,5,"A","2.5RPM","A.5"
1496100,7,13,"A","2.5RPM","A.13"
2064000,7,6,"A","2.5RPM","A.6"
1788600,7,14,"A","2.5RPM","A.14"
3546000,7,7,"A","2.5RPM","A.7"
1816800,7,15,"A","2.5RPM","A.15"
1385700,7,8,"A","2.5RPM","A.8"
2396400,7,16,"A","2.5RPM","A.16"
