chamber,cell_count,exp_day,clumping
2,1363700,42,N
2,1340750,42,N
2,1351950,42,N
5,625800,42,Y
5,631650,42,Y
5,644600,42,Y
11,1106300,42,N
11,1097700,42,N
11,1220950,42,N
14,2295400,42,N
14,2258650,42,N
14,2181200,42,N
15,2460750,42,N
15,2534300,42,N
15,2446300,42,N
2,1581550,43,N
2,1593000,43,N
2,1563550,43,N
5,3752300,43,Y
5,3320700,43,Y
5,3143700,43,Y
11,1949250,43,N
11,1975400,43,N
11,2025600,43,N
14,2136350,43,N
14,2184700,43,N
14,2156150,43,N
15,2935050,43,N
15,3039800,43,N
15,3105500,43,N
2,1793600,44,N
2,1713800,44,N
2,1764050,44,N
5,1561750,44,Y
5,1472100,44,Y
5,1604550,44,Y
11,1650800,44,N
11,1343650,44,N
11,1663900,44,N
14,1083250,44,N
14,1069100,44,N
14,1097750,44,N
15,2684700,44,N
15,2708800,44,N
15,2366550,44,N
2,870950,45,N
2,960600,45,N
2,975100,45,N
5,1178250,45,Y
5,1206550,45,Y
5,1649500,45,Y
11,1663400,45,N
11,1467650,45,N
11,1134100,45,N
14,2232550,45,N
14,2317700,45,N
14,2195950,45,N
15,2024700,45,N
15,2082500,45,N
15,2021050,45,N
2,1289100,46,N
2,1275700,46,N
2,1331600,46,N
5,1718050,46,Y
5,1494800,46,Y
5,1479900,46,Y
11,1623600,46,N
11,1742300,46,N
11,1800800,46,N
14,1963950,46,N
14,1878250,46,N
14,1953000,46,N
15,2302050,46,N
15,2357450,46,N
15,2255800,46,N
2,1114200,47,N
2,1133250,47,N
2,1087000,47,N
5,2115450,47,Y
5,1816400,47,Y
5,1865700,47,Y
11,1576650,47,N
11,1601000,47,N
11,1546750,47,N
14,2460500,47,N
14,2505000,47,N
14,2436850,47,N
15,2258400,47,N
15,2184200,47,N
15,2312150,47,N
2,1509450,48,N
2,1454900,48,N
2,1444150,48,N
5,1494300,48,Y
5,1120250,48,Y
5,1164200,48,Y
11,1604500,48,N
11,1547650,48,N
11,1651350,48,N
14,2518250,48,N
14,2657750,48,N
14,2784600,48,N
15,2228500,48,N
15,2102350,48,N
15,2186750,48,N
2,1820350,49,N
2,1750350,49,N
2,1837450,49,N
5,4930100,49,Y
5,3522650,49,Y
11,1685550,49,N
11,1681500,49,N
11,1665200,49,N
14,2675900,49,N
14,2819350,49,N
14,2858750,49,N
15,2334450,49,N
15,1135350,49,N
15,2545250,49,N
2,1794250,50,N
2,1693350,50,N
2,1687450,50,N
5,3002750,50,Y
5,2941500,50,Y
5,2385250,50,Y
11,2121250,50,N
11,2152900,50,N
11,2031000,50,N
14,2811350,50,N
14,2870750,50,N
14,2876200,50,N
15,2177550,50,N
15,2237050,50,N
15,2459400,50,N
2,2224150,51,N
2,2286800,51,N
2,2247700,51,N
5,2063850,51,Y
5,2194650,51,Y
5,2362050,51,Y
11,2305850,51,N
11,2245500,51,N
11,2379700,51,N
14,3133750,51,N
14,3024100,51,N
14,3066050,51,N
15,3748550,51,N
15,3715650,51,N
15,3778850,51,N
2,2915600,52,N
2,2885500,52,N
2,2935350,52,N
5,1016000,52,Y
5,1134200,52,Y
5,1034250,52,Y
11,1978100,52,N
11,1926400,52,N
11,1892250,52,N
14,3328350,52,N
14,3151500,52,N
14,3154950,52,N
15,2845950,52,N
15,3451250,52,N
15,3253250,52,N
2,1505550,53,N
2,1576950,53,N
2,1541650,53,N
5,2573950,53,Y
5,2058800,53,Y
5,3376500,53,Y
11,1328750,53,N
11,1404300,53,N
11,1414100,53,N
14,2347000,53,N
14,2464800,53,N
14,2521700,53,N
15,1860500,53,N
15,1832400,53,N
15,1872750,53,N
2,1857750,54,N
2,1851200,54,N
2,1869650,54,N
5,1954050,54,Y
5,1846550,54,Y
5,1832300,54,Y
11,1557550,54,N
11,1447950,54,N
11,1586150,54,N
14,2036550,54,N
14,2003900,54,N
14,2184700,54,N
15,1528150,54,N
15,1479600,54,N
15,1496900,54,N
2,2260450,55,N
2,2432750,55,N
2,2491150,55,N
5,3607150,55,Y
5,3478800,55,Y
5,3225350,55,Y
11,1245100,55,N
11,1230650,55,N
11,1274200,55,N
14,2928900,55,N
14,2862650,55,N
14,2858100,55,N
15,2583150,55,N
15,2497450,55,N
15,2557450,55,N
2,1706750,56,N
2,1772450,56,N
2,1687000,56,N
5,619850,56,Y
5,633350,56,Y
5,614800,56,Y
11,2415100,56,N
11,2097100,56,N
11,2214950,56,N
14,2460600,56,N
14,2595600,56,N
14,2830350,56,N
15,2352150,56,N
15,2281950,56,N
15,2172850,56,N
2,1203050,57,N
2,1255800,57,N
2,1211000,57,N
5,3868800,57,Y
5,3009300,57,Y
5,3661150,57,Y
11,2765800,57,N
11,2615600,57,N
11,2731450,57,N
14,2668400,57,N
14,2602950,57,N
14,2658800,57,N
15,2113400,57,N
15,2451800,57,N
15,2255350,57,N
2,1588300,58,N
2,1592500,58,N
2,1564550,58,N
5,2188200,58,Y
5,2181300,58,Y
5,2124400,58,Y
11,2451450,58,N
11,2391000,58,N
11,2488300,58,N
14,2186650,58,N
14,2063250,58,N
14,2111800,58,N
15,1939500,58,N
15,1998750,58,N
15,1960450,58,N
2,1846550,59,N
2,1878600,59,N
2,1907350,59,N
5,2738150,59,Y
5,2832900,59,Y
5,2760900,59,Y
11,2116650,59,N
11,2199000,59,N
11,2125850,59,N
14,2249350,59,N
14,2307900,59,N
14,2315850,59,N
15,1585700,59,N
15,1697400,59,N
15,1602800,59,N
2,1743050,60,N
2,1695050,60,N
2,1716700,60,N
5,814650,60,Y
5,742250,60,Y
5,782600,60,Y
11,1922400,60,N
11,1878300,60,N
11,1927450,60,N
14,2272850,60,N
14,2313350,60,N
14,2291450,60,N
15,1253800,60,N
15,1209900,60,N
15,1237400,60,N
2,1271550,61,N
2,1285750,61,N
2,1314150,61,N
5,675900,61,Y
5,686450,61,Y
5,672850,61,Y
11,1538450,61,N
11,1569700,61,N
11,1558850,61,N
14,2843450,61,N
14,2971200,61,N
14,2875000,61,N
15,1626750,61,N
15,1877300,61,N
15,1709250,61,N
2,1424100,62,N
2,1458900,62,N
2,1453900,62,N
5,1676000,62,Y
5,1724650,62,Y
5,1640650,62,Y
11,861000,62,N
11,956950,62,N
11,892100,62,N
14,2140850,62,N
14,2156550,62,N
14,2164150,62,N
15,1232500,62,N
15,1113650,62,N
15,1273500,62,N
