"exp_day","treatment_group","chamber","cell_count"
-2,0,2,1499700
-2,0,2,1548000
-2,0,11,1910100
-2,100,12,2834400
-2,150,3,2248500
-2,150,14,2477100
-1,0,11,2360400
-1,0,11,2440800
-1,100,12,2790300
-1,100,12,2766000
-1,150,3,2699700
-1,150,14,2665800
0,0,11,2455800
0,0,11,2215200
0,100,1,2017800
0,100,12,3355200
0,100,12,3368700
0,150,3,3151800
0,150,14,2966700
0,150,14,2809500
1,0,11,2711100
1,0,11,2952000
1,100,1,2649300
1,100,1,2198400
1,100,12,2510400
1,100,12,2698500
1,100,12,3456300
1,150,3,1749900
1,150,3,1662000
1,150,3,2205000
1,150,14,2478600
2,0,11,3382500
2,0,11,3401650
2,0,11,3332000
2,0,11,3408400
2,0,11,3235100
2,0,11,3398000
2,100,1,3790150
2,100,1,3709100
2,100,1,3659500
2,100,1,3809650
2,100,1,3755250
2,100,1,3762400
2,100,12,3471250
2,100,12,3451800
2,100,12,3396400
2,100,12,3356150
2,100,12,3476900
2,100,12,3261800
2,150,3,2812650
2,150,3,2676250
2,150,3,2851300
2,150,3,2796000
2,150,3,2728750
2,150,3,2690150
2,150,14,2537900
2,150,14,2430150
2,150,14,2527450
2,150,14,2402050
2,150,14,2349500
2,150,14,2427750
3,0,11,1803150
3,0,11,1670700
3,0,11,1637700
3,0,11,1736250
3,0,11,1724300
3,0,11,1711000
3,0,11,1719450
3,0,11,1623100
3,100,1,2745700
3,100,1,2631350
3,100,1,2522950
3,100,1,2552950
3,100,1,2560000
3,100,1,2448400
3,100,1,2456550
3,100,1,2382550
3,100,12,2948650
3,100,12,3024650
3,100,12,3007300
3,100,12,3154650
3,100,12,3120200
3,100,12,3193000
3,100,12,2939150
3,100,12,2736200
3,150,3,1408450
3,150,3,1400450
3,150,3,1385900
3,150,3,1420900
3,150,3,1395750
3,150,3,1395750
3,150,3,1316150
3,150,3,1186850
3,150,14,1651550
3,150,14,1594350
3,150,14,1668350
3,150,14,1576450
3,150,14,1673150
3,150,14,1620350
3,150,14,1616550
3,150,14,1479600
4,0,5,1967800
4,0,5,2003700
4,0,5,1940950
4,0,5,1853650
4,0,5,1944300
4,0,5,1852250
4,0,5,1846450
4,0,5,1690750
4,0,11,2412800
4,0,11,2346850
4,0,11,2410500
4,0,11,2237250
4,0,11,2287600
4,0,11,2126450
4,0,11,2340700
4,0,11,2259650
4,100,1,2810250
4,100,1,2800550
4,100,1,2877000
4,100,1,2771100
4,100,1,2861050
4,100,1,2835050
4,100,1,2793400
4,100,1,2775500
4,100,12,3274950
4,100,12,3211800
4,100,12,3081350
4,100,12,3052300
4,100,12,3260200
4,100,12,3146100
4,100,12,3143050
4,100,12,3051700
4,150,3,1573600
4,150,3,1605950
4,150,3,1629200
4,150,3,1584050
4,150,3,1600350
4,150,3,1608800
4,150,3,1564000
4,150,3,1532800
4,150,14,1473150
4,150,14,1506950
4,150,14,1370000
4,150,14,1469250
4,150,14,1438450
4,150,14,1420950
4,150,14,1434600
4,150,14,1401250
5,0,5,1454000
5,0,5,1468650
5,0,5,1459200
5,0,5,1437050
5,0,5,1392050
5,0,5,1407700
5,0,5,1337450
5,0,5,1369500
5,0,11,1792350
5,0,11,1845500
5,0,11,1859950
5,0,11,1872300
5,0,11,1871200
5,0,11,1846550
5,0,11,1765600
5,0,11,1805150
5,100,1,2868950
5,100,1,2697200
5,100,1,2720550
5,100,1,2721750
5,100,1,2675450
5,100,1,2594650
5,100,1,2619800
5,100,1,2513050
5,100,12,2589400
5,100,12,2544850
5,100,12,2458250
5,100,12,2530100
5,100,12,2575200
5,100,12,2528450
5,100,12,2494300
5,100,12,2407800
5,150,3,1480200
5,150,3,1495600
5,150,3,1463100
5,150,3,1490400
5,150,3,1503750
5,150,3,1413600
5,150,3,1437350
5,150,3,1442100
5,150,14,1162700
5,150,14,1116450
5,150,14,1173750
5,150,14,1128350
5,150,14,1122700
5,150,14,1165850
5,150,14,1111500
5,150,14,1147650
6,0,5,2152350
6,0,5,2122300
6,0,5,1983500
6,0,5,2021250
6,0,5,2023400
6,0,5,2058200
6,0,5,1912100
6,0,5,1863150
6,0,11,1874350
6,0,11,1895650
6,0,11,1929500
6,0,11,1912650
6,0,11,1970300
6,0,11,1968850
6,0,11,1818800
6,0,11,1999900
6,100,1,2542500
6,100,1,2533650
6,100,1,2512800
6,100,1,2469050
6,100,1,2348800
6,100,1,2355300
6,100,1,2372750
6,100,1,2368550
6,100,12,2206700
6,100,12,2389200
6,100,12,2218550
6,100,12,2238750
6,100,12,2232800
6,100,12,2390050
6,100,12,2274050
6,100,12,2227350
6,150,3,1391550
6,150,3,1404000
6,150,3,1348550
6,150,3,1367250
6,150,3,1407750
6,150,3,1363600
6,150,3,1333250
6,150,3,1324850
6,150,14,1158750
6,150,14,1200600
6,150,14,1191500
6,150,14,1175500
6,150,14,1186900
